_id,Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Other installment plans,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
34,Yes,... < 0 DM,15,existing credits paid back duly till now,car (new),1721,< 100 DM,< 1 year,2,male : single,none,3,real estate,36,none,own,1,skilled employee / official,1,No,Yes
35,Yes,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),860,< 100 DM,>= 7 years,1,female : divorced/separated/married,none,4,unknown / no property,39,none,own,2,skilled employee / official,1,Yes,Yes
36,Yes,no checking account,12,critical account/ other credits existing (not at this bank),car (new),1495,< 100 DM,>= 7 years,4,male : single,none,1,real estate,38,none,own,2,unskilled - resident,2,No,Yes
37,Yes,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1934,< 100 DM,>= 7 years,2,male : single,none,2,unknown / no property,26,none,own,2,skilled employee / official,1,No,Yes
38,Yes,no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,1,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,Yes,Yes
39,Yes,no checking account,24,critical account/ other credits existing (not at this bank),car (used),3868,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,2,car or other,41,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
40,Yes,no checking account,12,critical account/ other credits existing (not at this bank),repairs,996,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee / official,1,No,Yes
41,Yes,... < 0 DM,24,existing credits paid back duly till now,others,1755,< 100 DM,>= 7 years,4,female : divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,Yes,Yes
42,Yes,no checking account,18,critical account/ other credits existing (not at this bank),car (new),1028,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee / official,1,No,Yes
43,Yes,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),business,2825,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,3,unknown / no property,34,none,own,2,skilled employee / official,2,Yes,Yes
44,Yes,0 <= ... < 200 DM,18,existing credits paid back duly till now,education,1239,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,61,none,for free,1,skilled employee / official,1,No,Yes
45,No,... < 0 DM,18,existing credits paid back duly till now,car (new),1216,< 100 DM,< 1 year,4,female : divorced/separated/married,none,3,car or other,23,none,rent,1,skilled employee / official,1,Yes,Yes
46,Yes,no checking account,24,existing credits paid back duly till now,business,1258,< 100 DM,4 <= ... < 7 years,4,male : single,none,1,real estate,25,none,own,1,skilled employee / official,1,Yes,Yes
47,No,no checking account,18,critical account/ other credits existing (not at this bank),education,1864,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee / official,1,No,Yes
48,Yes,no checking account,24,existing credits paid back duly till now,car (new),1474,100 <= ... < 500 DM,< 1 year,4,male : married/widowed,none,3,real estate,33,none,own,1,skilled employee / official,1,Yes,Yes
49,Yes,... < 0 DM,24,critical account/ other credits existing (not at this bank),business,1382,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,1,real estate,26,none,own,2,skilled employee / official,1,Yes,Yes
50,Yes,no checking account,12,existing credits paid back duly till now,car (new),640,< 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,49,none,own,1,unskilled - resident,1,No,Yes
51,Yes,... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,3919,< 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,23,none,own,1,skilled employee / official,1,Yes,Yes
52,Yes,no checking account,9,critical account/ other credits existing (not at this bank),car (new),1224,< 100 DM,1 <= ... < 4 years,3,male : single,none,1,real estate,30,none,own,2,skilled employee / official,1,No,Yes
53,Yes,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,2331,unknown/ no savings account,>= 7 years,1,male : single,co-applicant,4,real estate,49,none,own,1,skilled employee / official,1,Yes,Yes
54,Yes,no checking account,24,existing credits paid back duly till now,car (used),6313,unknown/ no savings account,>= 7 years,3,male : single,none,4,car or other,41,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,Yes,Yes
55,Yes,... < 0 DM,12,critical account/ other credits existing (not at this bank),radio/television,385,< 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,real estate,58,none,own,4,unskilled - resident,1,Yes,Yes
56,Yes,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1655,< 100 DM,>= 7 years,2,male : single,none,4,real estate,63,none,own,2,unskilled - resident,1,Yes,Yes
57,Yes,... < 0 DM,15,existing credits paid back duly till now,radio/television,1053,< 100 DM,< 1 year,4,male : married/widowed,none,2,real estate,27,none,own,1,skilled employee / official,1,No,No
58,Yes,no checking account,21,existing credits paid back duly till now,radio/television,3160,unknown/ no savings account,>= 7 years,4,male : single,none,3,building society savings agreement/ life insurance,41,none,own,1,skilled employee / official,1,Yes,Yes
59,Yes,no checking account,36,existing credits paid back duly till now,car (new),3079,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee / official,1,No,Yes
60,Yes,no checking account,12,critical account/ other credits existing (not at this bank),car (new),1163,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,44,none,own,1,skilled employee / official,1,Yes,Yes
61,Yes,no checking account,24,existing credits paid back duly till now,car (used),2679,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,unknown / no property,29,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
62,Yes,no checking account,48,critical account/ other credits existing (not at this bank),radio/television,3578,unknown/ no savings account,>= 7 years,4,male : single,none,1,real estate,47,none,own,1,skilled employee / official,1,Yes,Yes
63,Yes,no checking account,36,delay in paying off in the past,car (new),10875,< 100 DM,>= 7 years,2,male : single,none,2,car or other,45,none,own,2,skilled employee / official,2,Yes,Yes
64,Yes,... < 0 DM,12,delay in paying off in the past,car (new),1344,< 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,43,none,own,2,unskilled - resident,2,No,Yes
65,Yes,no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1237,100 <= ... < 500 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,No,Yes
66,Yes,no checking account,12,existing credits paid back duly till now,radio/television,3077,< 100 DM,1 <= ... < 4 years,2,male : single,none,4,car or other,52,none,own,1,skilled employee / official,1,Yes,Yes
67,Yes,no checking account,24,existing credits paid back duly till now,radio/television,2284,< 100 DM,4 <= ... < 7 years,4,male : single,none,2,car or other,28,none,own,1,skilled employee / official,1,Yes,Yes
68,Yes,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1567,< 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,car or other,22,none,own,1,skilled employee / official,1,Yes,Yes
69,Yes,no checking account,24,delay in paying off in the past,car (new),2032,< 100 DM,>= 7 years,4,male : single,none,4,unknown / no property,60,none,for free,2,skilled employee / official,1,Yes,Yes
70,Yes,0 <= ... < 200 DM,21,critical account/ other credits existing (not at this bank),furniture/equipment,2745,>= 1000 DM,4 <= ... < 7 years,3,male : single,none,2,car or other,32,none,own,2,skilled employee / official,1,Yes,Yes
71,Yes,no checking account,30,existing credits paid back duly till now,radio/television,1867,unknown/ no savings account,>= 7 years,4,male : single,none,4,car or other,58,none,own,1,skilled employee / official,1,Yes,Yes
72,Yes,no checking account,36,existing credits paid back duly till now,radio/television,2299,500 <= ... < 1000 DM,>= 7 years,4,male : single,none,4,car or other,39,none,own,1,skilled employee / official,1,No,Yes
73,Yes,no checking account,24,existing credits paid back duly till now,furniture/equipment,929,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,2,car or other,31,stores,own,1,skilled employee / official,1,Yes,Yes
74,Yes,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,3399,unknown/ no savings account,>= 7 years,2,male : single,none,3,car or other,37,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,No,Yes
75,Yes,0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,2030,unknown/ no savings account,4 <= ... < 7 years,2,male : single,none,1,car or other,24,none,own,1,skilled employee / official,1,Yes,Yes
76,Yes,no checking account,21,critical account/ other credits existing (not at this bank),car (used),3275,< 100 DM,>= 7 years,1,male : single,none,4,car or other,36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
77,Yes,no checking account,24,critical account/ other credits existing (not at this bank),car (new),1940,>= 1000 DM,>= 7 years,4,male : single,none,4,real estate,60,none,own,1,skilled employee / official,1,Yes,Yes
78,Yes,... < 0 DM,21,critical account/ other credits existing (not at this bank),car (new),1602,< 100 DM,>= 7 years,4,male : married/widowed,none,3,car or other,30,none,own,2,skilled employee / official,1,Yes,Yes
79,Yes,no checking account,15,existing credits paid back duly till now,radio/television,1979,unknown/ no savings account,>= 7 years,4,male : single,none,2,car or other,35,none,own,1,skilled employee / official,1,No,Yes
80,Yes,no checking account,24,critical account/ other credits existing (not at this bank),car (new),2022,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,37,none,own,1,skilled employee / official,1,Yes,Yes
81,Yes,no checking account,36,critical account/ other credits existing (not at this bank),radio/television,3342,unknown/ no savings account,>= 7 years,4,male : single,none,2,car or other,51,none,own,1,skilled employee / official,1,Yes,Yes
82,Yes,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),5866,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,30,none,own,2,skilled employee / official,1,Yes,Yes
83,Yes,... >= 200 DM / salary assignments for at least 1 year,15,critical account/ other credits existing (not at this bank),car (used),2360,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,36,none,own,1,skilled employee / official,1,Yes,Yes
84,Yes,no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,1520,unknown/ no savings account,>= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,63,none,own,1,skilled employee / official,1,No,Yes
85,Yes,... < 0 DM,12,existing credits paid back duly till now,car (new),3651,>= 1000 DM,1 <= ... < 4 years,1,male : single,none,3,building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,2,No,Yes
86,Yes,no checking account,24,critical account/ other credits existing (not at this bank),car (used),2346,< 100 DM,4 <= ... < 7 years,4,male : single,none,3,car or other,35,none,own,2,skilled employee / official,1,Yes,Yes
87,Yes,no checking account,36,delay in paying off in the past,radio/television,4454,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,34,none,own,2,skilled employee / official,1,No,Yes
88,Yes,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),666,>= 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,real estate,39,none,own,2,unskilled - resident,1,Yes,Yes
89,Yes,0 <= ... < 200 DM,24,delay in paying off in the past,car (new),1965,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,42,none,rent,2,skilled employee / official,1,Yes,Yes
90,Yes,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1995,100 <= ... < 500 DM,< 1 year,4,male : single,none,1,car or other,27,none,own,1,skilled employee / official,1,No,Yes
91,Yes,0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,2991,unknown/ no savings account,>= 7 years,2,female : divorced/separated/married,none,4,car or other,25,none,own,1,skilled employee / official,1,No,Yes
92,Yes,0 <= ... < 200 DM,30,no credits taken/ all credits paid back duly,business,4221,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,1,car or other,28,none,own,2,skilled employee / official,1,No,Yes
93,Yes,... < 0 DM,9,existing credits paid back duly till now,radio/television,1364,< 100 DM,4 <= ... < 7 years,3,male : single,none,4,real estate,59,none,own,1,skilled employee / official,1,No,Yes
94,Yes,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,6361,< 100 DM,>= 7 years,2,male : single,none,1,unknown / no property,41,none,own,1,skilled employee / official,1,Yes,Yes
95,Yes,no checking account,27,critical account/ other credits existing (not at this bank),furniture/equipment,4526,>= 1000 DM,< 1 year,4,male : single,none,2,real estate,32,stores,own,2,unskilled - resident,2,Yes,Yes
96,Yes,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),radio/television,3573,< 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,real estate,23,none,own,1,unskilled - resident,1,No,Yes
97,No,0 <= ... < 200 DM,36,delay in paying off in the past,business,4455,< 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,2,real estate,30,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
98,Yes,... < 0 DM,9,existing credits paid back duly till now,furniture/equipment,2136,< 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,25,none,own,1,skilled employee / official,1,No,Yes
99,Yes,0 <= ... < 200 DM,42,critical account/ other credits existing (not at this bank),business,5954,< 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled - resident,1,No,Yes
100,Yes,no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,3777,>= 1000 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,40,none,own,1,skilled employee / official,1,Yes,Yes
101,Yes,... < 0 DM,15,existing credits paid back duly till now,business,806,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,22,none,own,1,unskilled - resident,1,No,Yes
102,Yes,0 <= ... < 200 DM,24,delay in paying off in the past,business,4712,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,34,bank,own,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
103,Yes,0 <= ... < 200 DM,36,delay in paying off in the past,car (new),7432,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,54,none,rent,1,skilled employee / official,1,No,Yes
104,Yes,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,1851,< 100 DM,4 <= ... < 7 years,4,male : married/widowed,guarantor,2,car or other,33,none,own,2,skilled employee / official,1,Yes,Yes
105,Yes,no checking account,24,existing credits paid back duly till now,car (new),1393,< 100 DM,1 <= ... < 4 years,2,male : single,guarantor,2,real estate,31,none,own,1,skilled employee / official,1,Yes,Yes
106,Yes,no checking account,12,critical account/ other credits existing (not at this bank),business,1412,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
107,Yes,no checking account,18,existing credits paid back duly till now,radio/television,1473,< 100 DM,< 1 year,3,male : married/widowed,none,4,real estate,39,none,own,1,skilled employee / official,1,Yes,Yes
108,Yes,no checking account,24,existing credits paid back duly till now,radio/television,1533,< 100 DM,< 1 year,4,female : divorced/separated/married,none,3,car or other,38,stores,own,1,skilled employee / official,1,Yes,Yes
109,Yes,no checking account,12,critical account/ other credits existing (not at this bank),education,2012,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,car or other,61,none,own,1,skilled employee / official,1,No,Yes
110,No,... < 0 DM,15,existing credits paid back duly till now,car (new),3959,< 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,Yes,Yes
111,Yes,... < 0 DM,6,existing credits paid back duly till now,furniture/equipment,428,< 100 DM,>= 7 years,2,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,49,bank,own,1,skilled employee / official,1,Yes,Yes
112,Yes,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),2366,500 <= ... < 1000 DM,4 <= ... < 7 years,3,male : divorced/separated,none,3,car or other,36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
113,Yes,no checking account,12,existing credits paid back duly till now,furniture/equipment,763,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee / official,1,Yes,Yes
114,Yes,0 <= ... < 200 DM,21,existing credits paid back duly till now,furniture/equipment,3976,unknown/ no savings account,4 <= ... < 7 years,2,male : single,none,3,car or other,35,none,own,1,skilled employee / official,1,Yes,Yes
115,Yes,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),6260,< 100 DM,4 <= ... < 7 years,3,male : single,none,3,real estate,28,none,rent,1,unskilled - resident,1,No,Yes
116,Yes,0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),furniture/equipment,1919,< 100 DM,4 <= ... < 7 years,4,male : single,none,3,car or other,35,none,rent,1,skilled employee / official,1,Yes,Yes
117,Yes,no checking account,24,existing credits paid back duly till now,car (used),2603,>= 1000 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee / official,1,Yes,Yes
118,Yes,no checking account,9,critical account/ other credits existing (not at this bank),education,936,500 <= ... < 1000 DM,>= 7 years,4,male : single,none,2,car or other,52,none,own,2,skilled employee / official,1,Yes,Yes
119,Yes,no checking account,24,existing credits paid back duly till now,furniture/equipment,3062,500 <= ... < 1000 DM,>= 7 years,4,male : single,none,3,unknown / no property,32,none,rent,1,skilled employee / official,1,Yes,Yes
120,Yes,0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,4795,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,unknown / no property,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
121,Yes,no checking account,36,critical account/ other credits existing (not at this bank),car (used),5842,< 100 DM,>= 7 years,2,male : single,none,2,building society savings agreement/ life insurance,35,none,own,2,skilled employee / official,2,Yes,Yes
122,Yes,0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,2063,< 100 DM,< 1 year,4,male : married/widowed,none,3,car or other,30,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
123,Yes,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1459,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,43,none,own,1,unskilled - resident,1,No,Yes
124,Yes,no checking account,15,existing credits paid back duly till now,radio/television,1213,500 <= ... < 1000 DM,>= 7 years,4,male : single,none,3,building society savings agreement/ life insurance,47,stores,own,1,skilled employee / official,1,Yes,Yes
125,Yes,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,5103,< 100 DM,< 1 year,3,male : married/widowed,none,3,unknown / no property,47,none,for free,3,skilled employee / official,1,Yes,Yes
126,Yes,no checking account,15,existing credits paid back duly till now,domestic appliances,874,unknown/ no savings account,< 1 year,4,female : divorced/separated/married,none,1,real estate,24,none,own,1,skilled employee / official,1,No,Yes
127,Yes,no checking account,6,existing credits paid back duly till now,furniture/equipment,2978,500 <= ... < 1000 DM,1 <= ... < 4 years,1,male : single,none,2,car or other,32,none,own,1,skilled employee / official,1,Yes,Yes
128,Yes,no checking account,18,existing credits paid back duly till now,car (new),1820,< 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,building society savings agreement/ life insurance,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
129,Yes,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2872,100 <= ... < 500 DM,>= 7 years,3,male : single,none,4,real estate,36,none,own,1,skilled employee / official,2,Yes,Yes
130,Yes,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,1925,< 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,26,none,own,1,skilled employee / official,1,No,Yes
131,Yes,no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,< 100 DM,1 <= ... < 4 years,3,male : single,none,4,real estate,43,none,own,1,skilled employee / official,1,Yes,Yes
132,Yes,... >= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,furniture/equipment,2116,< 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,41,none,own,1,skilled employee / official,1,Yes,Yes
133,Yes,no checking account,18,existing credits paid back duly till now,radio/television,1453,< 100 DM,< 1 year,3,female : divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee / official,1,No,Yes
