36,#2661,IF,status,is,... >= 200 DM (salary),AND,amount,in,1381 to 3888,AND,housing,is not,rent,AND,people_liable,is,0 to 2,AND,
,,,present_residence,is not,4 to 7 yrs and >= 7 yrs,...,...,...,...,...,...,...,...,...,...,...,...,THEN,accept,73,0.836364

40,#8138,IF,status,is not,... >= 200 DM (salary),AND,purpose,is not,furniture/equipment,AND,property,is not,real estate,AND,credit_history,is,all credits at this bank paid back duly,THEN,accept,82,0.615385

46,#8151,IF,status,is,... >= 200 DM (salary),AND,duration,<=,16,AND,property,is not,car or other and unknown / no property,AND,job,is not,unskilled - resident,THEN,accept,68,0.966102

47,#557,IF,purpose,is not,furniture/equipment,AND,credit_history,is not,all credits at this bank paid back duly,AND,savings,is,>= 1000 DM,AND,people_liable,is,0 to 2,THEN,accept,78,0.666667

48,#866,IF,status,is,... >= 200 DM (salary),AND,credit_history,is not,existing credits paid back duly till now,AND,employment_duration,is not,unemployed,AND,other_installment_plans,is not,bank,AND,
,,,age,in,31 to 42,AND,personal_status_sex,is,married male,...,...,...,...,...,...,...,...,THEN,accept,79,0.965517

49,#4291,IF,property,is,real estate,AND,savings,is not,500 to 1000 DM and >= 1000 DM,AND,housing,is not,rent,AND,status,is,... >= 200 DM (salary),THEN,accept,66,0.914894

32,#7104,IF,savings,is not,unknown/no savings account and < 100 DM,AND,present_residence,is,>= 7 yrs,AND,housing,is,own,...,...,...,...,THEN,accept,74,0.912281

37,#93,IF,credit_history,is,all credits at this bank paid back duly,AND,age,>=,25,AND,purpose,is not,furniture/equipment,AND,savings,is not,unknown/no savings account,THEN,accept,69,0.960784

38,#3646,IF,property,is not,unknown / no property,AND,purpose,is not,car (used),AND,housing,is,own,AND,savings,is not,500 to 1000 DM and >= 1000 DM,AND,
,,,age,<=,48,AND,credit_history,is not,all credits at this bank paid back duly,AND,personal_status_sex,is,married male,AND,status,is not,no checking account and ... < 0 DM,THEN,accept,70,0.716667

40,#7971,IF,status,is,... >= 200 DM (salary),AND,other_installment_plans,is,none,AND,credit_history,is not,existing credits paid back duly till now,AND,employment_duration,is,4 to 7 yrs or >= 7 yrs,AND,
,,,present_residence,is,>= 7 yrs,...,...,...,...,...,...,...,...,...,...,...,...,THEN,accept,74,0.981132

43,#4093,IF,credit_history,is,all credits at this bank paid back duly,AND,other_debtors,is not,co-applicant,AND,present_residence,is not,< 1 yr,AND,age,>=,33,AND,
,,,amount,in,1273 to 5992,AND,property,is not,building soc. savings agr./life insurance,...,...,...,...,...,...,...,...,THEN,accept,77,0.964286

45,#3654,IF,property,is not,unknown / no property,AND,purpose,is not,car (used) and furniture/equipment,AND,housing,is,own,AND,savings,is,500 to 1000 DM or >= 1000 DM,AND,
,,,status,is not,no checking account,AND,amount,<=,6792,...,...,...,...,...,...,...,...,THEN,accept,64,0.893617

46,#3722,IF,purpose,is,furniture/equipment,AND,age,>=,22,AND,status,is,... >= 200 DM (salary),AND,amount,<=,2358,THEN,accept,78,0.981132

49,#4743,IF,amount,<=,4146,AND,number_credits,is,1,AND,telephone,is,No,AND,personal_status_sex,is,not married male,AND,
,,,credit_history,is,no credits taken/all credits paid back duly,AND,property,is,real estate,...,...,...,...,...,...,...,...,THEN,accept,70,0.637931

41,#8715,IF,telephone,is,Yes,AND,duration,<=,27,AND,property,is not,building soc. savings agr./life insurance,AND,status,is not,no checking account and ... < 0 DM,AND,
,,,number_credits,is not,2 to 3,...,...,...,...,...,...,...,...,...,...,...,...,THEN,accept,75,0.981132

42,#895,IF,property,is not,real estate and building soc. savings agr./life insurance,AND,status,is,... >= 200 DM (salary),AND,housing,is not,rent,AND,credit_history,is not,no credits taken/all credits paid back duly and existing credits paid back duly till now,THEN,accept,73,0.928571

44,#7416,IF,other_installment_plans,is not,bank,AND,number_credits,is not,2 to 3,AND,telephone,is,Yes,AND,status,is not,no checking account and ... < 0 DM,AND,
,,,job,is not,management/ self-employed/ highly qualified employee/ officer,...,...,...,...,...,...,...,...,...,...,...,...,THEN,accept,78,0.982456

47,#6139,IF,purpose,is not,furniture/equipment,AND,status,is,... >= 200 DM (salary),AND,credit_history,is,all credits at this bank paid back duly,AND,amount,>=,1965,THEN,accept,63,0.888889

48,#8627,IF,purpose,is not,others and repairs,AND,housing,is not,for free,AND,property,is not,car or other,AND,duration,<=,37,AND,
,,,employment_duration,is,1 to 4 yrs or 4 to 7 yrs,AND,age,>=,25,AND,status,is not,no checking account and ... < 0 DM,...,...,...,...,THEN,accept,78,0.906250

